,y
882,3
883,0
884,3
885,2
886,1
887,3
888,3
889,1
890,1
891,3
892,1
893,2
894,2
895,0
896,2
897,1
898,1
899,1
900,1
901,3
902,3
903,3
904,3
905,2
906,3
907,3
908,1
909,3
910,2
911,1
912,1
913,2
914,0
915,3
916,2
917,1
918,1
919,2
920,1
921,1
922,1
923,2
924,2
925,2
926,1
927,3
928,2
929,2
930,1
931,1
932,1
933,1
934,2
935,1
936,1
937,3
938,3
939,2
940,2
941,1
942,3
943,2
944,2
945,3
946,3
947,1
948,3
949,1
950,1
951,2
952,3
953,3
954,1
955,2
956,2
957,3
958,2
959,2
960,3
961,1
962,3
963,3
964,1
965,2
966,3
967,2
968,2
969,1
970,2
971,1
972,2
973,2
974,3
975,1
976,1
977,3
978,3
979,3
980,1
981,1
982,1
983,1
984,3
985,3
986,1
987,1
988,1
989,1
990,3
991,2
992,3
993,2
994,2
995,3
996,1
997,3
998,3
999,3
